column00,call_no,incident_type,type_description,address,alarm_time,alarms,primary_unit,census_tract,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude,year,totalIncidentsPerType,totalIncidentsperneigh
5947,F190001878,164,Outside mailbox fire,"1800 BLOCK BROWNSVILLE RD, PITTSBURGH PA 15210",1/7/19 17:50,0,231EN23,2901,Carrick,4,29,42003290100,3,29,3,12-Apr,40.39713149,-79.98817893,2019,2,26
5950,F190001965,111,Building fire,"MAXWELL WAY & LARIMER AVE, PITTSBURGH PA 15206",1/8/19 1:35,1,231EN15,1204,Larimer,9,12,42003120400,2,12,5,12-Mar,40.46596811,-79.91280205,2019,120,4
6467,F190078353,111,Building fire,"00 BLOCK CLIFTON ST, PITTSBURGH PA 15210",9/15/19 9:02,2,231EN23,2904,Carrick,4,29,42003290400,3,29,3,23-Apr,40.38691144,-79.98191505,2019,120,26
5952,F190002192,160,"Special outside fire, Other","ALLENDALE CIR & LUNDY ST, PITTSBURGH PA 15204",1/8/19 17:35,0,231EN31,2022,Sheraden,2,20,42003202200,5,20,6,16-Jan,40.45911521,-80.06481723,2019,16,10
5954,F190002498,113,"Cooking fire, confined to container","700 BLOCK HAZELWOOD AVE, PITTSBURGH PA 15207",1/9/19 16:54,1,231EN12,1517,Hazelwood,5,15,42003562300,3,15,4,12-Feb,40.41979894,-79.93307298,2019,134,12
5955,F190002508,160,"Special outside fire, Other","900 BLOCK ROTHPLETZ ST, PITTSBURGH PA 15212",1/9/19 17:54,1,231EN35,2715,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan,40.47648209,-80.02318654,2019,16,8
5956,F190002277,100,"Fire, Other","100 BLOCK PARKFIELD ST, PITTSBURGH PA 15210",1/8/19 21:58,0,231EN23,2901,Carrick,4,29,42003290400,3,29,3,23-Apr,40.39130628,-79.98736814,2019,7,26
5957,F190003227,111,Building fire,"3900 BLOCK LIBERTY AVE, PITTSBURGH PA 15224",1/12/19 10:58,1,2314114,603,Lower Lawrenceville,7,6,42003060300,2,6,2,6-Mar,40.46231706,-79.95917702,2019,120,4
5958,F190002628,131,Passenger vehicle fire,"AMBERSON AVE & 5TH AVE, PITTSBURGH PA 15232",1/10/19 8:16,0,231EN18,1401,Squirrel Hill North,8,14,42003140100,3,14,4,26-Feb,40.44769394,-79.93884166,2019,47,10
5959,F190002654,111,Building fire,"1300 BLOCK MALVERN AVE, PITTSBURGH PA 15217",1/10/19 10:01,1,231EN18,1401,Squirrel Hill North,8,14,42003140100,3,14,4,8-Feb,40.44207479,-79.93509741,2019,120,10
5960,F190002688,111,Building fire,"1200 BLOCK ALBUM ST, PITTSBURGH PA 15206",1/10/19 11:36,1,231EN15,1203,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,15-Mar,40.46869521,-79.90388271,2019,120,12
5962,F190002741,111,Building fire,"1200 BLOCK ALBUM ST, PITTSBURGH PA 15206",1/10/19 15:08,1,231EN17,1203,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,15-Mar,40.46869521,-79.90388271,2019,120,12
5964,F190002761,113,"Cooking fire, confined to container","3700 BLOCK SUTHERLAND DR, PITTSBURGH PA 15213",1/10/19 16:15,1,231EN04,510,Terrace Village,6,5,42003051000,3,5,2,10-Feb,40.44469834,-79.96324572,2019,134,10
5965,F190003171,111,Building fire,"7100 BLOCK VANN RD, PITTSBURGH PA 15221",1/12/19 6:11,1,231EN15,1202,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,18-Mar,40.46487108,-79.89486855,2019,120,12
5966,F190003908,111,Building fire,"6100 BLOCK SPIRIT ST, PITTSBURGH PA 15206",1/14/19 19:23,1,231EN08,708,Shadyside,8,7,42003070800,2,7,4,11-Mar,40.45960956,-79.92353121,2019,120,23
5967,F190003806,113,"Cooking fire, confined to container","5300 BLOCK PENN AVE, PITTSBURGH PA 15206",1/14/19 12:06,1,231EN08,1017,Bloomfield,7,8,42003080900,2,8,5,23-Mar,40.46438306,-79.93844576,2019,134,11
5968,F190003959,111,Building fire,"6200 BLOCK E LIBERTY BLVD, PITTSBURGH PA 15208",1/15/19 4:41,1,231EN08,1115,East Liberty,9,11,42003111500,2,11,5,8-Mar,40.46500109,-79.91990701,2019,120,16
5969,F190004000,113,"Cooking fire, confined to container","2000 BLOCK E CARSON ST, PITTSBURGH PA 15203",1/15/19 8:51,1,231TK24,1702,South Side Flats,3,17,42003170200,3,17,3,24-Apr,40.42831819,-79.9775108,2019,134,16
5970,F190004282,113,"Cooking fire, confined to container","300 BLOCK LUCILLA ST, PITTSBURGH PA 15218",1/16/19 8:31,1,231EN19,1411,Swisshelm Park,5,14,42003141100,3,14,4,19-Feb,40.42443329,-79.89989657,2019,134,4
5971,F190004470,131,Passenger vehicle fire,"100 BLOCK PERRYVIEW AVE, PITTSBURGH PA 15214",1/16/19 19:56,0,231EN34,2602,Perry North,1,26,42003260200,1,26,1,15-Jan,40.49472601,-80.0239579,2019,47,1
5973,F190004722,113,"Cooking fire, confined to container","3500 BLOCK BEECHWOOD BLVD, PITTSBURGH PA 15217",1/17/19 20:00,1,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,15-Feb,40.42282159,-79.92733824,2019,134,8
5974,F190003943,118,"Trash or rubbish fire, contained","1700 BLOCK REALTY AVE, PITTSBURGH PA 15216",1/15/19 0:06,1,231EN28,1920,Beechview,4,19,42003192000,5,19,6,28-Apr,40.40864755,-80.02476928,2019,24,11
5975,F190004742,100,"Fire, Other","2200 BLOCK SARAH ST, PITTSBURGH PA 15203",1/17/19 21:43,1,231EN24,1609,South Side Flats,3,16,42003160900,3,16,3,24-Apr,40.42725506,-79.97459941,2019,7,16
5976,F190005073,131,Passenger vehicle fire,"5300 BLOCK BROAD ST, PITTSBURGH PA 15224",1/19/19 6:56,0,231EN08,1017,Garfield,9,10,42003101700,2,10,5,4-Mar,40.46587069,-79.9382302,2019,47,5
5977,F190005170,111,Building fire,"700 BLOCK MELROSE AVE, PITTSBURGH PA 15214",1/19/19 15:27,1,231EN37,2614,Perry South,6,25,42003261400,1,25,1,12-Jan,40.46330069,-80.01724463,2019,120,9
5978,F190005373,131,Passenger vehicle fire,"5000 BLOCK 2ND AVE, PITTSBURGH PA 15201",1/20/19 13:19,0,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40855025,-79.94368636,2019,47,12
5979,F190005514,111,Building fire,"2900 BLOCK WEBSTER AVE, PITTSBURGH PA 15219",1/21/19 1:02,1,231EN10,501,Middle Hill,6,5,42003050100,3,5,2,5-Feb,40.45171154,-79.96703282,2019,120,11
5980,F190005636,111,Building fire,"500 BLOCK S MATHILDA ST, PITTSBURGH PA 15224",1/21/19 13:20,1,231EN06,804,Bloomfield,7,8,42003080200,2,8,5,1-Mar,40.45994397,-79.94761628,2019,120,11
5981,F190006061,114,"Chimney or flue fire, confined to chimney or flue","1100 BLOCK SHADYCREST DR, PITTSBURGH PA 15216",1/22/19 17:25,1,231EN28,1916,Beechview,4,19,42003191600,5,19,6,28-Apr,40.42304202,-80.02528634,2019,8,11
5983,F190005800,113,"Cooking fire, confined to container","300 BLOCK ZARA ST, PITTSBURGH PA 15210",1/22/19 2:17,1,231EN27,3001,Knoxville,3,30,42003300100,5,30,3,6-Apr,40.41577936,-79.99309324,2019,134,16
5985,F190006688,111,Building fire,"600 BLOCK W NORTH AVE, PITTSBURGH PA 15212",1/24/19 19:22,1,231EN37,2206,Central Northside,1,22,42003220600,1,22,1,21-Jan,40.4545672,-80.01283293,2019,120,14
5986,F190006197,111,Building fire,"200 BLOCK ADDISON ST, PITTSBURGH PA 15219",1/23/19 6:35,1,231EN04,511,Terrace Village,6,5,42003051100,3,5,2,1-Feb,40.44210282,-79.9767087,2019,120,10
5987,F190007142,111,Building fire,"3200 BLOCK BEECHWOOD BLVD, PITTSBURGH PA 15217",1/26/19 14:02,1,231EN12,1414,Squirrel Hill South,5,14,42003141400,3,14,4,15-Feb,40.41827627,-79.92302807,2019,120,15
5989,F190007329,150,"Outside rubbish fire, Other","1200 BLOCK GOETTMAN ST, PITTSBURGH PA 15212",1/27/19 7:21,0,231EN32,2406,Troy Hill,1,24,42003240600,1,24,1,2-Jan,40.45842191,-79.98820679,2019,32,12
5990,F190007401,113,"Cooking fire, confined to container","7100 BLOCK FRANKSTOWN AVE, PITTSBURGH PA 15208",1/27/19 14:06,1,231EN17,1303,Homewood South,9,13,42003130300,2,13,5,17-Mar,40.45789783,-79.89850047,2019,134,9
5991,F190007071,113,"Cooking fire, confined to container","2100 BLOCK BROWNSVILLE RD, PITTSBURGH PA 15210",1/26/19 6:26,1,231EN23,2902,Carrick,4,29,42003290100,3,29,3,12-Apr,40.39319983,-79.98652355,2019,134,26
5993,F190007735,118,"Trash or rubbish fire, contained","900 BLOCK LIBERTY AVE, PITTSBURGH PA 15222",1/28/19 17:46,1,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44294531,-79.99793948,2019,24,26
5994,F190007913,113,"Cooking fire, confined to container","100 BLOCK HOME ST, PITTSBURGH PA 15201",1/29/19 11:14,1,231EN06,901,South Oakland,3,4,42003040900,3,4,4,11-Feb,40.43212856,-79.95406119,2019,134,4
5995,F190007322,116,"Fuel burner/boiler malfunction, fire confined","3400 BLOCK FORBES AVE, PITTSBURGH PA 15213",1/27/19 6:28,1,231EN10,405,Central Oakland,3,4,42003040500,3,4,4,14-Feb,40.43841907,-79.96090068,2019,1,5
5996,F190007686,113,"Cooking fire, confined to container","800 BLOCK E WARRINGTON AVE, PITTSBURGH PA 15210",1/28/19 14:53,1,231EN22,1803,Allentown,3,18,42003180300,5,18,3,6-Apr,40.42153984,-79.99358088,2019,134,6
5997,F190008300,113,"Cooking fire, confined to container","200 BLOCK S HIGHLAND AVE, PITTSBURGH PA 15206",1/30/19 18:01,1,231EN08,708,Shadyside,8,7,42003070500,2,7,4,11-Mar,40.45875586,-79.92529613,2019,134,23
5998,F190008465,111,Building fire,"3800 BLOCK OSWEGO ST, PITTSBURGH PA 15212",1/31/19 7:46,1,231EN35,2701,Brighton Heights,1,27,42003270100,1,27,1,14-Jan,40.48300755,-80.0455445,2019,120,7
5999,F190008562,100,"Fire, Other","3000 BLOCK MIDDLETOWN RD, PITTSBURGH PA 15205",1/31/19 12:22,1,231EN30,2807,Sheraden,2,20,42003202200,5,20,6,16-Jan,40.44958846,-80.06431902,2019,7,10
6000,F190009058,113,"Cooking fire, confined to container","100 BLOCK N BELLEFIELD AVE, PITTSBURGH PA 15213",2/1/19 18:35,1,231EN10,404,North Oakland,8,4,42003040400,3,4,4,7-Feb,40.44715208,-79.9518349,2019,134,7
6001,F190009281,162,Outside equipment fire,"100 BLOCK FORBES AVE, PITTSBURGH PA 15219",2/2/19 12:42,1,231EN37,201,Central Business District,6,1,42003020100,6,1,2,4-Jan,40.44092566,-80.00369851,2019,4,26
6002,F190009404,111,Building fire,"1600 BLOCK FEDERAL ST, PITTSBURGH PA 15214",2/2/19 17:52,1,231EN34,2503,Fineview,6,25,42003250300,1,25,1,10-Jan,40.45987221,-80.00853954,2019,120,2
6003,F190009593,111,Building fire,"1600 BLOCK METHYL ST, PITTSBURGH PA 15216",2/3/19 10:20,1,231EN28,1916,Beechview,4,19,42003191600,5,19,6,28-Apr,40.41036897,-80.02583523,2019,120,11
6004,F190009658,113,"Cooking fire, confined to container","1300 BLOCK ARCH ST, PITTSBURGH PA 15212",2/3/19 14:08,1,231EN37,2206,Central Northside,1,22,42003220600,1,22,1,21-Jan,40.45660366,-80.00889251,2019,134,14
6005,F190008194,113,"Cooking fire, confined to container","1600 BLOCK 5TH AVE, PITTSBURGH PA 15219",1/30/19 12:20,1,231EN04,305,Bluff,6,1,42003010300,3,1,2,4-Feb,40.43826436,-79.98386479,2019,134,12
6006,F190008622,113,"Cooking fire, confined to container","5000 BLOCK 2ND AVE, PITTSBURGH PA 15207",1/31/19 15:10,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40855025,-79.94368636,2019,134,12
6007,F190008675,111,Building fire,"300 BLOCK N CRAIG ST, PITTSBURGH PA 15213",1/31/19 17:41,1,231EN06,507,North Oakland,8,4,42003040400,3,4,4,9-Feb,40.44556752,-79.94914618,2019,120,7
6009,F190009929,113,"Cooking fire, confined to container","200 BLOCK QUEENSTON ST, PITTSBURGH PA 15210",2/4/19 10:50,1,231EN23,3204,Overbrook,4,32,42003320400,5,32,3,23-Apr,40.38895427,-79.99479521,2019,134,8
6011,F190010014,113,"Cooking fire, confined to container","400 BLOCK OVERBROOK BLVD, PITTSBURGH PA 15210",2/4/19 15:27,1,231EN23,2904,Carrick,4,29,42003290400,3,29,3,23-Apr,40.38674888,-79.98995378,2019,134,26
6017,F190010432,132,Road freight or transport vehicle fire,"00 BLOCK BIGELOW SQ, PITTSBURGH PA 15219",2/6/19 2:45,0,231EN37,201,Central Business District,6,2,42003020100,6,2,2,4-Feb,40.4408367,-79.99443219,2019,2,26
6018,F190010590,113,"Cooking fire, confined to container","6200 BLOCK E LIBERTY BLVD, PITTSBURGH PA 15206",2/6/19 14:49,1,231EN15,1115,East Liberty,9,11,42003111500,2,11,5,8-Mar,40.46500109,-79.91990701,2019,134,16
6021,F190010630,111,Building fire,"2500 BLOCK MAPLE AVE, PITTSBURGH PA 15214",2/6/19 17:42,1,231EN38,2614,Perry South,6,26,42003261400,1,26,1,22-Jan,40.46983948,-80.00726998,2019,120,9
6022,F190010129,111,Building fire,"100 BLOCK JUCUNDA ST, PITTSBURGH PA 15210",2/5/19 0:49,3,231EN22,3001,Knoxville,3,30,42003300100,5,30,3,6-Apr,40.41739906,-79.98821973,2019,120,16
6024,F190010428,111,Building fire,"2100 BLOCK E CARSON ST, PITTSBURGH PA 15203",2/6/19 2:07,3,231EN24,1609,South Side Flats,3,16,42003160900,3,16,3,24-Apr,40.42831461,-79.97607197,2019,120,16
6025,F190010453,111,Building fire,"5700 BLOCK ELLSWORTH AVE, PITTSBURGH PA 15206",2/6/19 6:20,1,231EN08,705,Shadyside,8,7,42003070500,2,7,4,11-Mar,40.45467997,-79.9321212,2019,120,23
6026,F190011343,113,"Cooking fire, confined to container","5700 BLOCK BUNKERHILL ST, PITTSBURGH PA 15206",2/8/19 18:23,1,231EN08,1102,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47886132,-79.9196464,2019,134,8
6027,F190011391,113,"Cooking fire, confined to container","100 BLOCK N WOODLAND RD, PITTSBURGH PA 15217",2/8/19 21:45,1,231EN18,1402,Squirrel Hill North,8,14,42003140200,3,14,4,17-Feb,40.45131426,-79.92472835,2019,134,10
6028,F190011634,160,"Special outside fire, Other","4200 BLOCK MINNESOTA ST, PITTSBURGH PA 15217",2/9/19 19:09,0,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,12-Feb,40.42235827,-79.93887859,2019,16,8
6031,F190012350,113,"Cooking fire, confined to container","700 BLOCK W NORTH AVE, PITTSBURGH PA 15212",2/12/19 10:08,1,231EN37,2206,Central Northside,1,22,42003220600,1,22,1,21-Jan,40.45416108,-80.01366432,2019,134,14
6033,F190012510,114,"Chimney or flue fire, confined to chimney or flue","1100 BLOCK N FRANKLIN ST, PITTSBURGH PA 15233",2/12/19 19:17,1,231EN37,2107,Manchester,6,21,42003210700,1,21,1,8-Jan,40.45699297,-80.0220084,2019,8,1
6034,F190011982,131,Passenger vehicle fire,"1400 BLOCK BROWNSVILLE RD, PITTSBURGH PA 15210",2/11/19 1:20,0,231EN23,2901,Carrick,4,29,42003290200,3,29,3,12-Apr,40.402169,-79.98937691,2019,47,26
6035,F190012823,150,"Outside rubbish fire, Other","200 BLOCK CHARLES ST, PITTSBURGH PA 15203",2/13/19 18:55,0,231EN24,3001,Knoxville,3,30,42003300100,5,30,3,6-Apr,40.41646308,-79.99074569,2019,32,16
6037,F190013631,131,Passenger vehicle fire,"400 BLOCK BROWNSVILLE RD, PITTSBURGH PA 15210",2/16/19 17:51,0,231EN23,3001,Knoxville,3,30,42003300100,5,30,3,7-Apr,40.41325263,-79.98912886,2019,47,16
6038,F190012699,131,Passenger vehicle fire,"1300 BLOCK PAULSON AVE, PITTSBURGH PA 15206",2/13/19 10:19,0,231EN15,1203,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,15-Mar,40.4686268,-79.90116534,2019,47,12
6041,F190014561,131,Passenger vehicle fire,"BIGELOW BLVD & BEDFORD AVE, PITTSBURGH PA 15219",2/20/19 9:47,0,231EN04,201,Central Business District,6,3,42003020100,6,3,2,4-Feb,40.4416609,-79.99203749,2019,47,26
6042,F190013885,114,"Chimney or flue fire, confined to chimney or flue","200 BLOCK GOLDBACH ST, PITTSBURGH PA 15210",2/17/19 18:40,1,231EN22,1603,Arlington,3,16,42003561600,3,16,3,8-Apr,40.41571946,-79.96949481,2019,8,5
6044,F190014716,113,"Cooking fire, confined to container","300 BLOCK S CRAIG ST, PITTSBURGH PA 15213",2/20/19 18:25,1,231EN18,404,North Oakland,8,4,42003040400,3,4,4,9-Feb,40.44556752,-79.94914618,2019,134,7
6045,F190014931,113,"Cooking fire, confined to container","5500 BLOCK BLACK ST, PITTSBURGH PA 15206",2/21/19 14:42,1,231EN08,1114,Garfield,9,11,42003111400,2,11,5,4-Mar,40.46939565,-79.92988079,2019,134,5
6046,F190015058,111,Building fire,"6000 BLOCK BUTLER ST, PITTSBURGH PA 15201",2/22/19 1:22,1,231EN07,1018,Stanton Heights,7,10,42003101100,2,10,5,5-Mar,40.486435,-79.94277219,2019,120,5
6049,F190016305,160,"Special outside fire, Other","300 BLOCK S ATLANTIC AVE, PITTSBURGH PA 15206",2/24/19 18:46,0,231EN17,806,Bloomfield,7,8,42003080600,2,8,5,23-Mar,40.46185201,-79.9392548,2019,16,11
6051,F190017167,111,Building fire,"200 BLOCK MOORE AVE, PITTSBURGH PA 15210",2/25/19 16:06,1,23138413,3001,Knoxville,3,30,42003300100,5,30,3,7-Apr,40.41139176,-79.99041191,2019,120,16
6052,F190015508,113,"Cooking fire, confined to container","900 BLOCK LINCOLN AVE, PITTSBURGH PA 15206",2/23/19 20:36,1,231EN15,1207,Homewood West,9,12,42003120700,2,12,5,15-Mar,40.46352015,-79.90292108,2019,134,3
6053,F190017611,112,Fires in structure other than in a building,"ARLINGTON AVE & P J MCARDLE, PITTSBURGH PA 15210",2/27/19 2:03,1,231EN24,1706,South Side Slopes,3,18,42003170600,3,18,3,2-Apr,40.42902823,-79.99833231,2019,7,2
6055,F190018028,111,Building fire,"7600 BLOCK BAXTER ST, PITTSBURGH PA 15221",2/28/19 10:30,2,231EN17,1302,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45706664,-79.88962119,2019,120,13
6056,F190018101,111,Building fire,"00 BLOCK PEDRO WAY, PITTSBURGH PA 15210",2/28/19 15:03,1,231EN27,1803,Allentown,3,18,42003180300,5,18,3,5-Apr,40.42368474,-79.99694758,2019,120,6
6058,F190018139,111,Building fire,"2700 BLOCK SACRAMENTO AVE, PITTSBURGH PA 15204",2/28/19 17:33,1,231EN31,2018,Sheraden,2,20,42003562500,5,20,6,16-Jan,40.4552848,-80.04767581,2019,120,10
6059,F190018150,151,"Outside rubbish, trash or waste fire","00 BLOCK LIVERPOOL ST, PITTSBURGH PA 15233",2/28/19 18:11,0,231EN37,2108,Chateau,6,21,42003980600,1,21,1,8-Jan,40.45374219,-80.03334429,2019,41,5
6060,F190017254,151,"Outside rubbish, trash or waste fire","4800 BLOCK BAUM BLVD, PITTSBURGH PA 15213",2/25/19 21:05,0,231EN06,804,Bloomfield,7,8,42003080400,2,8,5,23-Feb,40.45424822,-79.94741021,2019,41,11
6061,F190017291,111,Building fire,"5800 BLOCK WALNUT ST, PITTSBURGH PA 15206",2/26/19 0:09,1,231EN08,705,Shadyside,8,7,42003070600,2,7,4,11-Mar,40.45265607,-79.92856697,2019,120,23
6062,F190018434,113,"Cooking fire, confined to container","2000 BLOCK FAIRLAWN ST, PITTSBURGH PA 15221",3/1/19 16:27,1,231EN16,1306,East Hills,9,13,42003130600,2,13,5,19-Mar,40.45035753,-79.87008249,2019,134,9
6064,F190017590,131,Passenger vehicle fire,"2300 BLOCK CENTRE AVE, PITTSBURGH PA 15219",2/26/19 22:36,0,231EN04,501,Middle Hill,6,5,42003050100,3,5,2,5-Feb,40.44520633,-79.97395014,2019,47,11
6066,F190018855,150,"Outside rubbish fire, Other","800 BLOCK GEORGIA AVE, PITTSBURGH PA 15210",3/3/19 9:00,0,231EN23,3001,Knoxville,3,30,42003300100,5,30,3,7-Apr,40.40941854,-79.99543929,2019,32,16
6067,F190019176,113,"Cooking fire, confined to container","1200 BLOCK STANHOPE ST, PITTSBURGH PA 15204",3/4/19 12:28,1,231EN31,2022,Sheraden,2,20,42003202200,5,20,6,16-Jan,40.45599865,-80.064852,2019,134,10
6068,F190019365,114,"Chimney or flue fire, confined to chimney or flue","1200 BLOCK JUSTINE ST, PITTSBURGH PA 15204",3/5/19 7:29,1,231EN31,2814,Crafton Heights,2,28,42003281400,5,28,6,16-Jan,40.44953697,-80.05551036,2019,8,3
6069,F190019402,111,Building fire,"3200 BLOCK LADOGA ST, PITTSBURGH PA 15204",3/5/19 10:01,1,231EN31,2807,Windgap,2,28,42003563000,5,28,6,16-Jan,40.44951668,-80.06789923,2019,120,2
6070,F190019588,113,"Cooking fire, confined to container","100 BLOCK BOGGS AVE, PITTSBURGH PA 15211",3/5/19 21:23,1,231EN27,1914,Mount Washington,2,19,42003191400,5,19,3,27-Apr,40.42719652,-80.00561737,2019,134,11
6071,F190020028,131,Passenger vehicle fire,"5400 BLOCK BAUM BLVD, PITTSBURGH PA 15206",3/7/19 15:09,0,231EN08,806,Bloomfield,7,8,42003080600,2,8,5,23-Mar,40.45694405,-79.93850238,2019,47,11
6073,F190020459,112,Fires in structure other than in a building,"2500 BLOCK WEDGEMERE ST, PITTSBURGH PA 15226",3/9/19 1:42,1,231EN26,1919,Brookline,4,19,42003191900,5,19,6,26-Apr,40.3967236,-80.02113815,2019,7,8
6074,F190020594,111,Building fire,"400 BLOCK PEARL ST, PITTSBURGH PA 15224",3/9/19 15:52,1,231EN06,802,Bloomfield,7,8,42003080200,2,8,5,1-Mar,40.46092739,-79.95100056,2019,120,11
6075,F190020166,130,"Mobile property (vehicle) fire, Other","1000 BLOCK SILVERDALE ST, PITTSBURGH PA 15206",3/8/19 6:38,0,231EN15,1301,Homewood North,9,13,42003130100,2,13,5,17-Mar,40.45593939,-79.88076951,2019,10,13
6076,F190020475,132,Road freight or transport vehicle fire,"600 BLOCK 1ST AVE, PITTSBURGH PA 15219",3/9/19 4:20,0,231EN04,201,Central Business District,6,1,42003020100,6,1,2,4-Jan,40.43503957,-79.99604095,2019,2,26
6077,F190020740,131,Passenger vehicle fire,"5400 BLOCK DRESDEN WAY, PITTSBURGH PA 15201",3/10/19 8:54,0,231EN07,1011,Upper Lawrenceville,7,10,42003101100,2,10,2,5-Mar,40.48259082,-79.95082072,2019,47,6
6078,F190020785,111,Building fire,"300 BLOCK KAMBACH ST, PITTSBURGH PA 15211",3/10/19 12:21,1,231EN27,1807,Mount Washington,3,18,42003180700,5,18,3,5-Apr,40.4262881,-80.0025803,2019,120,11
6079,F190020808,111,Building fire,"300 BLOCK KAMBACH ST, PITTSBURGH PA 15211",3/10/19 14:07,3,231EN27,1807,Mount Washington,3,18,42003180700,5,18,3,5-Apr,40.4262881,-80.0025803,2019,120,11
6080,F190019339,113,"Cooking fire, confined to container","2400 BLOCK SARAH ST, PITTSBURGH PA 15203",3/5/19 2:27,1,231EN24,1609,South Side Flats,3,16,42003160900,3,16,3,24-Apr,40.42727625,-79.97139815,2019,134,16
6081,F190021414,141,"Forest, woods or wildland fire","00 BLOCK CRAWFORD ST, PITTSBURGH PA 15219",3/12/19 17:17,0,231EN04,305,Central Business District,6,3,42003020100,6,3,2,1-Feb,40.44326997,-79.98763653,2019,1,26
6082,F190021428,113,"Cooking fire, confined to container","2700 BLOCK CENTRE AVE, PITTSBURGH PA 15219",3/12/19 18:27,1,231EN10,510,Terrace Village,6,5,42003051000,3,5,2,5-Feb,40.44714253,-79.96702786,2019,134,10
6083,F190021437,113,"Cooking fire, confined to container","6900 BLOCK MCPHERSON BLVD, PITTSBURGH PA 15208",3/12/19 19:24,1,231EN17,1405,Point Breeze North,9,14,42003140500,2,14,4,14-Mar,40.45411658,-79.90626356,2019,134,2
6085,F190021938,100,"Fire, Other","900 BLOCK 2ND AVE, PITTSBURGH PA 15219",3/14/19 14:59,0,231EN04,103,Bluff,6,1,42003010300,6,1,2,4-Feb,40.43507182,-79.99318468,2019,7,12
6086,F190021994,111,Building fire,"4800 BLOCK SCIOTA ST, PITTSBURGH PA 15224",3/14/19 17:45,1,231EN06,804,Bloomfield,7,8,42003080400,2,8,5,1-Mar,40.45967383,-79.94735368,2019,120,11
6087,F190022079,111,Building fire,"3200 BLOCK CALIFORNIA AVE, PITTSBURGH PA 15212",3/14/19 22:54,1,231EN35,2703,Brighton Heights,1,27,42003270300,1,27,1,14-Jan,40.47328182,-80.03782823,2019,120,7
6088,F190022236,111,Building fire,"2200 BLOCK LOS ANGELES AVE, PITTSBURGH PA 15216",3/15/19 12:39,1,231EN28,1920,Beechview,4,19,42003192000,5,19,6,28-Apr,40.40377064,-80.0292696,2019,120,11
6089,F190022375,113,"Cooking fire, confined to container","1600 BLOCK FEDERAL ST, PITTSBURGH PA 15212",3/15/19 19:52,1,231EN37,2503,Fineview,6,25,42003250300,1,25,1,10-Jan,40.45987221,-80.00853954,2019,134,2
6090,F190022515,154,Dumpster or other outside trash receptacle fire,"400 BLOCK SHADY AVE, PITTSBURGH PA 15232",3/16/19 15:11,0,2314112,708,Shadyside,8,7,42003070600,2,7,4,11-Mar,40.45536652,-79.92287553,2019,20,23
6091,F190022516,142,Brush or brush-and-grass mixture fire,"200 BLOCK GREENFIELD AVE, PITTSBURGH PA 15207",3/16/19 15:19,0,231EN12,1516,Greenfield,5,15,42003151600,3,15,4,12-Feb,40.42568053,-79.94980261,2019,25,8
6093,F190022914,151,"Outside rubbish, trash or waste fire","200 BLOCK THE BOULEVARD, PITTSBURGH PA 15210",3/18/19 8:17,0,231EN23,2902,Carrick,4,29,42003290200,3,29,3,12-Apr,40.40109927,-79.98573628,2019,41,26
6094,F190023113,131,Passenger vehicle fire,"7100 BLOCK UPLAND ST, PITTSBURGH PA 15206",3/18/19 22:53,0,231EN15,1301,Homewood North,9,13,42003130100,2,13,5,18-Mar,40.46261734,-79.89738699,2019,47,13
6095,F190023139,160,"Special outside fire, Other","GASS AVE & REUBEN ST, PITTSBURGH PA 15212",3/19/19 4:30,1,231EN35,2703,Brighton Heights,1,27,42003270300,1,27,1,14-Jan,40.47826288,-80.03505317,2019,16,7
6097,F190023285,112,Fires in structure other than in a building,"1500 BLOCK DENNISTON ST, PITTSBURGH PA 15217",3/19/19 15:41,1,231EN18,1403,Squirrel Hill North,8,14,42003140300,3,14,4,18-Feb,40.44184979,-79.91880426,2019,7,10
6098,F190023307,118,"Trash or rubbish fire, contained","6TH BLOCK AVE & ROSS ST, PITTSBURGH PA 15219",3/19/19 16:55,1,231EN04,201,Central Business District,6,2,42003020100,6,2,2,4-Jan,40.44041702,-79.99483212,2019,24,26
6099,F190023391,113,"Cooking fire, confined to container","500 BLOCK FRANCIS ST, PITTSBURGH PA 15219",3/19/19 23:11,1,231EN03,501,Middle Hill,6,5,42003050100,3,5,2,5-Feb,40.44714039,-79.96749434,2019,134,11
